id,event_id,league_name,home_team,away_team,event_time,bet_type,selection,handicap,odds,fair_odds,estimated_roi,result,profit,created_at,updated_at,actual_result
459,180302419,TT Cup,Martin Sulc,Jan Hendrych,2025-08-27 15:50:00,To Win,Home,,1.83,1.25,46.40000000000002,,,2025-08-27 12:55:50,2025-08-27 12:55:50,
460,180302544,TT Cup,Adam Kosacky,Ondrej Fiklik,2025-08-27 15:55:00,To Win,Away,,1.9,1.3888888888888888,36.79999999999999,,,2025-08-27 12:55:50,2025-08-27 12:55:50,
461,180302544,TT Cup,Adam Kosacky,Ondrej Fiklik,2025-08-27 15:55:00,Total,Over O 75.5,75.5,1.83,1.5384615384615383,18.95000000000001,,,2025-08-27 12:55:50,2025-08-27 12:55:50,
462,180302505,TT Cup,Marek Dlask,Stanislav Jansa,2025-08-27 16:10:00,Total,Under U 75.5,75.5,1.83,1.5,21.999999999999996,,,2025-08-27 12:55:50,2025-08-27 12:55:50,
463,180302545,TT Cup,Petr Vanek,Michal Brozek,2025-08-27 16:25:00,To Win,Home,,1.8,1.4285714285714286,25.99999999999999,,,2025-08-27 12:55:51,2025-08-27 12:55:51,
464,180302545,TT Cup,Petr Vanek,Michal Brozek,2025-08-27 16:25:00,Total,Under U 75.5,75.5,1.83,1.3333333333333333,37.25000000000001,,,2025-08-27 12:55:51,2025-08-27 12:55:51,
465,180302506,TT Cup,Radek Zeman,Stanislav Jansa,2025-08-27 16:40:00,To Win,Away,,2.1,1.6,31.25,,,2025-08-27 12:55:51,2025-08-27 12:55:51,
466,180302421,TT Cup,Jan Hrncir,Martin Sulc,2025-08-27 16:50:00,To Win,Away,,1.9,1.25,52.0,,,2025-08-27 12:55:51,2025-08-27 12:55:51,
467,180302421,TT Cup,Jan Hrncir,Martin Sulc,2025-08-27 16:50:00,Total,Under U 75.5,75.5,1.83,1.3333333333333333,37.25000000000001,,,2025-08-27 12:55:51,2025-08-27 12:55:51,
468,180302546,TT Cup,Adam Kosacky,Michal Brozek,2025-08-27 16:55:00,Total,Under U 74.5,74.5,1.83,1.5384615384615383,18.95000000000001,,,2025-08-27 12:55:51,2025-08-27 12:55:51,
