id,league_name,home_team,away_team,event_time,bet_type,selection,handicap,odds,estimated_roi,result,profit,actual_result,sent_at
725,Czech Liga Pro,Michal Chalupa,Jiri Louda,2025-08-29 23:00:00,To Win,Home,,2.0,100.0,,,,2025-08-29 01:15:46
732,Czech Liga Pro,Michal Chalupa,Viktor Vejvoda,2025-08-30 00:30:00,To Win,Home,,1.83,83.0,1.0,0.8300000000000001,Michal Chalupa,2025-08-29 01:15:46
737,Czech Liga Pro,Martin Sopko,Michal Chalupa,2025-08-30 02:00:00,To Win,Away,,1.9,89.99999999999999,0.0,-1.0,Martin Sopko,2025-08-29 01:15:46
955,Czech Liga Pro,Alexander Hejduk,Leos Havrda,2025-08-30 08:30:00,To Win,Away,,3.75,87.5,,,,2025-08-30 08:18:39
957,Czech Liga Pro,Ales Barton,Tomas Prosa,2025-08-30 08:30:00,Total,Under U 76.5,76.5,1.83,83.0,,,,2025-08-30 08:18:39
965,Czech Liga Pro,Radim Sikora,Jiri Foltynek,2025-08-30 10:00:00,Total,Under U 77.5,77.5,1.83,83.0,,,,2025-08-30 08:18:39
983,Czech Liga Pro,Robin Pacha,Oleksandr Kolisnyk,2025-08-30 12:30:00,To Win,Home,,2.2,65.00000000000001,,,,2025-08-30 08:18:39
988,Czech Liga Pro,Jiri Foltynek,Bohuslav Kaloc,2025-08-30 12:30:00,Total,Over O 73.5,73.5,1.83,83.0,,,,2025-08-30 08:18:39
989,Czech Liga Pro,Jiri Zuzanek,Michal Chalupa,2025-08-30 14:00:00,To Win,Away,,2.0,100.0,,,,2025-08-30 08:18:39
990,Czech Liga Pro,Jiri Pozarsky,Petr Zmuda,2025-08-30 14:30:00,To Win,Home,,1.61,61.00000000000001,,,,2025-08-30 08:18:39
995,Czech Liga Pro,Michal Kratochvil,Jakub Pilch,2025-08-30 14:30:00,To Win,Away,,2.5,87.5,,,,2025-08-30 08:18:39
996,Czech Liga Pro,Michal Chalupa,Jiri Pozarsky,2025-08-30 15:00:00,To Win,Home,,2.0,100.0,,,,2025-08-30 08:18:39
997,Czech Liga Pro,Michal Chalupa,Jiri Pozarsky,2025-08-30 15:00:00,Total,Under U 77.5,77.5,1.83,83.0,,,,2025-08-30 08:18:39
1005,Czech Liga Pro,Jaromir Cernik,Radek Golis,2025-08-30 15:30:00,To Win,Home,,2.5,62.49999999999998,,,,2025-08-30 08:18:39
1007,Czech Liga Pro,Jiri Zuzanek,Jiri Pozarsky,2025-08-30 16:00:00,To Win,Away,,1.66,65.99999999999999,,,,2025-08-30 08:18:39
1009,Czech Liga Pro,Radek Golis,Milos Pospisil,2025-08-30 16:00:00,To Win,Away,,2.2,76.00000000000003,,,,2025-08-30 08:18:39
1011,Czech Liga Pro,Michal Chalupa,Petr Zmuda,2025-08-30 16:30:00,To Win,Home,,1.72,72.0,,,,2025-08-30 08:18:39
884,Czech Liga Pro,Vaclav Kosar,Matej Pycha,2025-08-30 23:00:00,To Win,Away,,3.4,206.0,,,,2025-08-30 08:18:39
887,Czech Liga Pro,Pavel Berdych,Milos Pospisil,2025-08-30 23:30:00,To Win,Away,,2.0,60.00000000000001,0.0,-1.0,Pavel Berdych,2025-08-30 08:18:39
897,Czech Liga Pro,Tibor Kolenic,Kamil Novak,2025-08-31 01:00:00,To Win,Home,,3.4,70.0,1.0,2.4,Tibor Kolenic,2025-08-30 08:18:39
